25/03/2021,Bulgaria,Switzerland,1,3,FIFA World Cup qualification,Sofia,Bulgaria,FALSE
25/03/2021,Italy,Northern Ireland,2,0,FIFA World Cup qualification,Parma,Italy,FALSE
25/03/2021,Israel,Denmark,0,2,FIFA World Cup qualification,Tel Aviv,Israel,FALSE
25/03/2021,Scotland,Austria,2,2,FIFA World Cup qualification,Glasgow,Scotland,FALSE
25/03/2021,Moldova,Faroe Islands,1,1,FIFA World Cup qualification,Chișinău,Moldova,FALSE
25/03/2021,England,San Marino,5,0,FIFA World Cup qualification,London,England,FALSE
25/03/2021,Andorra,Albania,0,1,FIFA World Cup qualification,Andorra la Vella,Andorra,FALSE
25/03/2021,Hungary,Poland,3,3,FIFA World Cup qualification,Budapest,Hungary,FALSE
25/03/2021,Germany,Iceland,3,0,FIFA World Cup qualification,Duisburg,Germany,FALSE
25/03/2021,Liechtenstein,Armenia,0,1,FIFA World Cup qualification,Vaduz,Liechtenstein,FALSE
25/03/2021,Romania,North Macedonia,3,2,FIFA World Cup qualification,Bucharest,Romania,FALSE
25/03/2021,South Africa,Ghana,1,1,African Cup of Nations qualification,Johannesburg,South Africa,FALSE
25/03/2021,Gambia,Angola,1,0,African Cup of Nations qualification,Bakau,Gambia,FALSE
25/03/2021,Gabon,DR Congo,3,0,African Cup of Nations qualification,Franceville,Gabon,FALSE
25/03/2021,Comoros,Togo,0,0,African Cup of Nations qualification,Moroni,Comoros,FALSE
25/03/2021,Kenya,Egypt,1,1,African Cup of Nations qualification,Nairobi,Kenya,FALSE
25/03/2021,Botswana,Zimbabwe,0,1,African Cup of Nations qualification,Francistown,Botswana,FALSE
25/03/2021,Zambia,Algeria,3,3,African Cup of Nations qualification,Lusaka,Zambia,FALSE
25/03/2021,Equatorial Guinea,Tanzania,1,0,African Cup of Nations qualification,Malabo,Equatorial Guinea,FALSE
25/03/2021,Libya,Tunisia,2,5,African Cup of Nations qualification,Benina,Libya,FALSE
25/03/2021,Tajikistan,Mongolia,3,0,FIFA World Cup qualification,Dushanbe,Tajikistan,FALSE
26/03/2021,Chile,Bolivia,2,1,Friendly,Rancagua,Chile,FALSE
26/03/2021,Burundi,Central African Republic,2,2,African Cup of Nations qualification,Bujumbura,Burundi,FALSE
26/03/2021,Mauritania,Morocco,0,0,African Cup of Nations qualification,Nouakchott,Mauritania,FALSE
26/03/2021,Cape Verde,Cameroon,3,1,African Cup of Nations qualification,Praia,Cape Verde,FALSE
26/03/2021,Eswatini,Guinea-Bissau,1,3,African Cup of Nations qualification,Manzini,Eswatini,FALSE
26/03/2021,Congo,Senegal,0,0,African Cup of Nations qualification,Brazzaville,Congo,FALSE
26/03/2021,Niger,Ivory Coast,0,3,African Cup of Nations qualification,Lomé,Togo,TRUE
27/03/2021,Bosnia and Herzegovina,Costa Rica,0,0,Friendly,Zenica,Bosnia and Herzegovina,FALSE
27/03/2021,Nepal,Bangladesh,0,0,Friendly,Kathmandu,Nepal,FALSE
27/03/2021,Qatar,Azerbaijan,2,1,Friendly,Debrecen,Hungary,TRUE
27/03/2021,Wales,Mexico,1,0,Friendly,Cardiff,Wales,FALSE
27/03/2021,United States Virgin Islands,Antigua and Barbuda,0,3,FIFA World Cup qualification,St Croix,United States Virgin Islands,FALSE
27/03/2021,Aruba,Suriname,0,6,FIFA World Cup qualification,Bradenton,United States,TRUE
27/03/2021,British Virgin Islands,Guatemala,0,3,FIFA World Cup qualification,Willemstad,Curaçao,TRUE
27/03/2021,Anguilla,Dominican Republic,0,6,FIFA World Cup qualification,Fort Lauderdale,United States,TRUE
27/03/2021,Turks and Caicos Islands,Nicaragua,0,7,FIFA World Cup qualification,San Cristóbal,Dominican Republic,TRUE
27/03/2021,Bahamas,Saint Kitts and Nevis,0,4,FIFA World Cup qualification,Nassau,Bahamas,FALSE
27/03/2021,Republic of Ireland,Luxembourg,0,1,FIFA World Cup qualification,Dublin,Republic of Ireland,FALSE
27/03/2021,Serbia,Portugal,2,2,FIFA World Cup qualification,Belgrade,Serbia,FALSE
27/03/2021,Belarus,Estonia,4,2,FIFA World Cup qualification,Minsk,Belarus,FALSE
27/03/2021,Czech Republic,Belgium,1,1,FIFA World Cup qualification,Prague,Czech Republic,FALSE
27/03/2021,Montenegro,Gibraltar,4,1,FIFA World Cup qualification,Podgorica,Montenegro,FALSE
27/03/2021,Netherlands,Latvia,2,0,FIFA World Cup qualification,Amsterdam,Netherlands,FALSE
27/03/2021,Norway,Turkey,0,3,FIFA World Cup qualification,Malaga,Spain,TRUE
27/03/2021,Russia,Slovenia,2,1,FIFA World Cup qualification,Sochi,Russia,FALSE
27/03/2021,Croatia,Cyprus,1,0,FIFA World Cup qualification,Rijeka,Croatia,FALSE
27/03/2021,Slovakia,Malta,2,2,FIFA World Cup qualification,Trnava,Slovakia,FALSE
27/03/2021,Lesotho,Sierra Leone,0,0,African Cup of Nations qualification,Maseru,Lesotho,FALSE
27/03/2021,Benin,Nigeria,0,1,African Cup of Nations qualification,Porto Novo,Benin,FALSE
28/03/2021,Greece,Honduras,2,1,Friendly,Thessaloniki,Greece,FALSE
28/03/2021,Northern Ireland,United States,1,2,Friendly,Belfast,Northern Ireland,FALSE
28/03/2021,Montserrat,El Salvador,1,1,FIFA World Cup qualification,Willemstad,Curaçao,TRUE
28/03/2021,Cuba,Curaçao,1,2,FIFA World Cup qualification,Guatemala City,Guatemala,TRUE
28/03/2021,Dominica,Panama,1,2,FIFA World Cup qualification,Santo Domingo,Dominican Republic,TRUE
28/03/2021,Puerto Rico,Trinidad and Tobago,1,1,FIFA World Cup qualification,Mayagüez,Puerto Rico,FALSE
28/03/2021,Georgia,Spain,1,2,FIFA World Cup qualification,Tbilisi,Georgia,FALSE
28/03/2021,Kosovo,Sweden,0,3,FIFA World Cup qualification,Pristina,Kosovo,FALSE
28/03/2021,Switzerland,Lithuania,1,0,FIFA World Cup qualification,St Gallen,Switzerland,FALSE
28/03/2021,Bulgaria,Italy,0,2,FIFA World Cup qualification,Sofia,Bulgaria,FALSE
28/03/2021,Kazakhstan,France,0,2,FIFA World Cup qualification,Nur-Sultan,Kazakhstan,FALSE
28/03/2021,Ukraine,Finland,1,1,FIFA World Cup qualification,Kiev,Ukraine,FALSE
28/03/2021,Denmark,Moldova,8,0,FIFA World Cup qualification,Herning,Denmark,FALSE
28/03/2021,Austria,Faroe Islands,3,1,FIFA World Cup qualification,Vienna,Austria,FALSE
28/03/2021,Israel,Scotland,1,1,FIFA World Cup qualification,Tel Aviv,Israel,FALSE
28/03/2021,Albania,England,0,2,FIFA World Cup qualification,Tirana,Albania,FALSE
28/03/2021,Poland,Andorra,3,0,FIFA World Cup qualification,Warsaw,Poland,FALSE
28/03/2021,San Marino,Hungary,0,3,FIFA World Cup qualification,Serravalle,San Marino,FALSE
28/03/2021,Armenia,Iceland,2,0,FIFA World Cup qualification,Yerevan,Armenia,FALSE
28/03/2021,North Macedonia,Liechtenstein,5,0,FIFA World Cup qualification,Skopje,North Macedonia,FALSE
28/03/2021,Romania,Germany,0,1,FIFA World Cup qualification,Bucharest,Romania,FALSE
28/03/2021,Namibia,Guinea,2,1,African Cup of Nations qualification,Windhoek,Namibia,FALSE
28/03/2021,Mali,Chad,3,0,African Cup of Nations qualification,Bamako,Mali,FALSE
28/03/2021,Ghana,São Tomé and Príncipe,3,1,African Cup of Nations qualification,Cape Coast,Ghana,FALSE
28/03/2021,Sudan,South Africa,2,0,African Cup of Nations qualification,Omdurman,Sudan,FALSE
28/03/2021,Tunisia,Equatorial Guinea,2,1,African Cup of Nations qualification,Radès,Tunisia,FALSE
28/03/2021,Tanzania,Libya,1,0,African Cup of Nations qualification,Dar es Salaam,Tanzania,FALSE
29/03/2021,Ecuador,Bolivia,2,1,Friendly,Guayaquil,Ecuador,FALSE
29/03/2021,Kuwait,Lebanon,1,1,Friendly,Dubai,United Arab Emirates,TRUE
29/03/2021,Nepal,Bangladesh,2,1,Friendly,Kathmandu,Nepal,FALSE
29/03/2021,Uzbekistan,Iraq,0,1,Friendly,Tashkent,Uzbekistan,FALSE
29/03/2021,Cayman Islands,Canada,0,11,FIFA World Cup qualification,Bradenton,United States,TRUE
29/03/2021,Burkina Faso,South Sudan,1,0,African Cup of Nations qualification,Ouagadougou,Burkina Faso,FALSE
29/03/2021,Malawi,Uganda,1,0,African Cup of Nations qualification,Lilongwe,Malawi,FALSE
29/03/2021,Angola,Gabon,2,0,African Cup of Nations qualification,Luanda,Angola,FALSE
29/03/2021,DR Congo,Gambia,1,0,African Cup of Nations qualification,Kinshasa,DR Congo,TRUE
29/03/2021,Togo,Kenya,1,2,African Cup of Nations qualification,Lomé,Togo,FALSE
29/03/2021,Egypt,Comoros,4,0,African Cup of Nations qualification,Cairo,Egypt,FALSE
29/03/2021,Algeria,Botswana,5,0,African Cup of Nations qualification,Algiers,Algeria,FALSE
29/03/2021,Zimbabwe,Zambia,0,2,African Cup of Nations qualification,Harare,Zimbabwe,FALSE
29/03/2021,United Arab Emirates,India,6,0,Friendly,Dubai,United Arab Emirates,FALSE
30/03/2021,Bahrain,Jordan,1,2,Friendly,Riffa,Bahrain,FALSE
30/03/2021,Costa Rica,Mexico,0,1,Friendly,Wiener Neustadt,Austria,TRUE
30/03/2021,Iran,Syria,3,0,Friendly,Tehran,Iran,FALSE
30/03/2021,Republic of Ireland,Qatar,1,1,Friendly,Debrecen,Hungary,TRUE
30/03/2021,Grenada,United States Virgin Islands,1,0,FIFA World Cup qualification,St George's,Grenada,FALSE
30/03/2021,Bermuda,Aruba,5,0,FIFA World Cup qualification,Bradenton,United States,TRUE
30/03/2021,Saint Vincent and the Grenadines,British Virgin Islands,3,0,FIFA World Cup qualification,Willemstad,Curaçao,TRUE
30/03/2021,Barbados,Anguilla,1,0,FIFA World Cup qualification,Santo Domingo,Dominican Republic,TRUE
30/03/2021,Belize,Turks and Caicos Islands,5,0,FIFA World Cup qualification,San Cristóbal,Dominican Republic,TRUE
30/03/2021,Guyana,Bahamas,4,0,FIFA World Cup qualification,Santo Domingo,Dominican Republic,TRUE
30/03/2021,Azerbaijan,Serbia,1,2,FIFA World Cup qualification,Baku,Azerbaijan,FALSE
30/03/2021,Luxembourg,Portugal,1,3,FIFA World Cup qualification,Luxembourg City,Luxembourg,FALSE
30/03/2021,Wales,Czech Republic,1,0,FIFA World Cup qualification,Cardiff,Wales,FALSE
30/03/2021,Belgium,Belarus,8,0,FIFA World Cup qualification,Leuven,Belgium,FALSE
30/03/2021,Gibraltar,Netherlands,0,7,FIFA World Cup qualification,Gibraltar,Gibraltar,FALSE
30/03/2021,Montenegro,Norway,0,1,FIFA World Cup qualification,Podgorica,Montenegro,FALSE
30/03/2021,Turkey,Latvia,3,3,FIFA World Cup qualification,Istanbul,Turkey,FALSE
30/03/2021,Cyprus,Slovenia,1,0,FIFA World Cup qualification,Nicosia,Cyprus,FALSE
30/03/2021,Croatia,Malta,3,0,FIFA World Cup qualification,Rijeka,Croatia,FALSE
30/03/2021,Slovakia,Russia,2,1,FIFA World Cup qualification,Trnava,Slovakia,FALSE
30/03/2021,Saudi Arabia,Palestine,5,0,FIFA World Cup qualification,Riyadh,Saudi Arabia,FALSE
30/03/2021,Japan,Mongolia,14,0,FIFA World Cup qualification,Chiba,Japan,FALSE
30/03/2021,Central African Republic,Mauritania,0,1,African Cup of Nations qualification,Bangui,Central African Republic,FALSE
30/03/2021,Morocco,Burundi,1,0,African Cup of Nations qualification,Rabat,Morocco,FALSE
30/03/2021,Cameroon,Rwanda,0,0,African Cup of Nations qualification,Douala,Cameroon,FALSE
30/03/2021,Mozambique,Cape Verde,0,1,African Cup of Nations qualification,Maputo,Mozambique,FALSE
30/03/2021,Guinea-Bissau,Congo,3,0,African Cup of Nations qualification,Bissau,Guinea-Bissau,FALSE
30/03/2021,Senegal,Eswatini,1,1,African Cup of Nations qualification,Thiès,Senegal,FALSE
30/03/2021,Ivory Coast,Ethiopia,3,1,African Cup of Nations qualification,Abidjan,Ivory Coast,FALSE
30/03/2021,Madagascar,Niger,0,0,African Cup of Nations qualification,Toamasina,Madagascar,FALSE
30/03/2021,Nigeria,Lesotho,3,0,African Cup of Nations qualification,Lagos,Nigeria,FALSE
31/03/2021,Sweden,Estonia,1,0,Friendly,Stockholm,Sweden,FALSE
31/03/2021,Switzerland,Finland,3,2,Friendly,St Gallen,Switzerland,FALSE
31/03/2021,Spain,Kosovo,3,1,FIFA World Cup qualification,Seville,Spain,FALSE
31/03/2021,Greece,Georgia,1,1,FIFA World Cup qualification,Thessaloniki,Greece,FALSE
31/03/2021,Northern Ireland,Bulgaria,0,0,FIFA World Cup qualification,Belfast,Northern Ireland,FALSE
31/03/2021,Lithuania,Italy,0,2,FIFA World Cup qualification,Vilnius,Lithuania,FALSE
31/03/2021,Bosnia and Herzegovina,France,0,1,FIFA World Cup qualification,Sarajevo,Bosnia and Herzegovina,FALSE
31/03/2021,Ukraine,Kazakhstan,1,1,FIFA World Cup qualification,Kiev,Ukraine,FALSE
31/03/2021,Scotland,Faroe Islands,4,0,FIFA World Cup qualification,Glasgow,Scotland,FALSE
31/03/2021,Austria,Denmark,0,4,FIFA World Cup qualification,Vienna,Austria,FALSE
31/03/2021,Moldova,Israel,1,4,FIFA World Cup qualification,Chișinău,Moldova,FALSE
31/03/2021,England,Poland,2,1,FIFA World Cup qualification,London,England,FALSE
31/03/2021,Andorra,Hungary,1,4,FIFA World Cup qualification,Andorra la Vella,Andorra,FALSE
31/03/2021,San Marino,Albania,0,2,FIFA World Cup qualification,Serravalle,San Marino,FALSE
31/03/2021,Armenia,Romania,3,2,FIFA World Cup qualification,Yerevan,Armenia,FALSE
31/03/2021,Germany,North Macedonia,1,2,FIFA World Cup qualification,Duisburg,Germany,FALSE
31/03/2021,Liechtenstein,Iceland,1,4,FIFA World Cup qualification,Vaduz,Liechtenstein,FALSE
23/05/2021,Ukraine,Bahrain,1,1,Friendly,Kharkiv,Ukraine,FALSE
24/05/2021,Iraq,Tajikistan,0,0,Friendly,Basra,Iraq,FALSE
24/05/2021,United Arab Emirates,Jordan,5,1,Friendly,Dubai,United Arab Emirates,FALSE
25/05/2021,Indonesia,Afghanistan,2,3,Friendly,Dubai,United Arab Emirates,TRUE
25/05/2021,Oman,Thailand,1,0,Friendly,Dubai,United Arab Emirates,TRUE
27/05/2021,Turkey,Azerbaijan,2,1,Friendly,Alanya,Turkey,FALSE
28/05/2021,Bahrain,Malaysia,2,0,Friendly,Riffa,Bahrain,FALSE
28/05/2021,Italy,San Marino,7,0,Friendly,Cagliari,Italy,FALSE
29/05/2021,Indonesia,Oman,1,3,Friendly,Dubai,United Arab Emirates,TRUE
29/05/2021,Iraq,Nepal,6,2,Friendly,Basra,Iraq,FALSE
29/05/2021,Mexico,Iceland,2,1,Friendly,Arlington,United States,TRUE
29/05/2021,Singapore,Afghanistan,1,1,Friendly,Dubai,United Arab Emirates,TRUE
29/05/2021,Sweden,Finland,2,0,Friendly,Stockholm,Sweden,FALSE
29/05/2021,Thailand,Tajikistan,2,2,Friendly,Sharjah,United Arab Emirates,TRUE
30/05/2021,Malta,Northern Ireland,0,3,Friendly,Klagenfurt,Austria,TRUE
30/05/2021,Switzerland,United States,2,1,Friendly,St Gallen,Switzerland,FALSE
31/05/2021,Jordan,Vietnam,1,1,Friendly,Sharjah,United Arab Emirates,TRUE
31/05/2021,Turkey,Guinea,0,0,Friendly,Antalya,Turkey,FALSE
01/06/2021,Croatia,Armenia,1,1,Friendly,Velika Gorica,Croatia,FALSE
01/06/2021,Kosovo,San Marino,4,1,Friendly,Pristina,Kosovo,FALSE
01/06/2021,North Macedonia,Slovenia,1,1,Friendly,Skopje,North Macedonia,FALSE
01/06/2021,Poland,Russia,1,1,Friendly,Wrocław,Poland,FALSE
01/06/2021,Slovakia,Bulgaria,1,1,Friendly,Ried im Innkreis,Austria,TRUE
01/06/2021,Lithuania,Estonia,0,1,Baltic Cup,Vilnius,Lithuania,FALSE
02/06/2021,Belarus,Azerbaijan,1,2,Friendly,Minsk,Belarus,FALSE
02/06/2021,Bosnia and Herzegovina,Montenegro,0,0,Friendly,Sarajevo,Bosnia and Herzegovina,FALSE
02/06/2021,England,Austria,1,0,Friendly,London,England,FALSE
02/06/2021,France,Wales,3,0,Friendly,Nice,France,FALSE
02/06/2021,Germany,Denmark,1,1,Friendly,Innsbruck,Austria,TRUE
02/06/2021,Mozambique,Lesotho,5,0,Friendly,Maputo,Mozambique,FALSE
02/06/2021,Netherlands,Scotland,2,2,Friendly,São João da Venda,Portugal,TRUE
02/06/2021,Norway,Luxembourg,1,0,Friendly,Malaga,Spain,TRUE
02/06/2021,Romania,Georgia,1,2,Friendly,Ploiești,Romania,FALSE
02/06/2021,Montserrat,United States Virgin Islands,4,0,FIFA World Cup qualification,San Cristóbal,Dominican Republic,TRUE
02/06/2021,Cayman Islands,Aruba,1,3,FIFA World Cup qualification,Bradenton,United States,TRUE
02/06/2021,Cuba,British Virgin Islands,5,0,FIFA World Cup qualification,Guatemala City,Guatemala,TRUE
02/06/2021,Dominica,Anguilla,3,0,FIFA World Cup qualification,Santo Domingo,Dominican Republic,TRUE
02/06/2021,Puerto Rico,Bahamas,7,0,FIFA World Cup qualification,Mayagüez,Puerto Rico,FALSE
