index,Cylinders,Engine Aspiration,Drivetrain,Transmission,Horsepower,Torque,Highway Fuel Economy
914,V6,Twin-Turbo,4WD,automatic,400 hp @ 5000 rpm,480 ft-lbs. @ 2250 rpm,22 mpg
915,V6,Twin-Turbo,RWD,automatic,400 hp @ 5000 rpm,480 ft-lbs. @ 2250 rpm,23 mpg
916,V6,Twin-Turbo,4WD,automatic,400 hp @ 5000 rpm,480 ft-lbs. @ 2250 rpm,22 mpg
917,V6,Twin-Turbo,4WD,automatic,380 hp @ 5000 rpm,470 ft-lbs. @ 2250 rpm,22 mpg
918,V6,Twin-Turbo,RWD,automatic,380 hp @ 5000 rpm,470 ft-lbs. @ 2250 rpm,23 mpg
919,V6,Twin-Turbo,RWD,automatic,380 hp @ 5000 rpm,470 ft-lbs. @ 2250 rpm,23 mpg
920,V6,Twin-Turbo,4WD,automatic,380 hp @ 5000 rpm,470 ft-lbs. @ 2250 rpm,22 mpg
921,V6,Twin-Turbo,4WD,automatic,400 hp @ 5000 rpm,480 ft-lbs. @ 2250 rpm,22 mpg
922,V6,Twin-Turbo,RWD,automatic,400 hp @ 5000 rpm,480 ft-lbs. @ 2250 rpm,23 mpg
923,V6,Twin-Turbo,4WD,automatic,440 hp @ 5000 rpm,510 ft-lbs. @ 2250 rpm,19 mpg
924,V6,Twin-Turbo,RWD,automatic,380 hp @ 5000 rpm,470 ft-lbs. @ 2250 rpm,23 mpg
925,V6,Twin-Turbo,4WD,automatic,380 hp @ 5000 rpm,470 ft-lbs. @ 2250 rpm,22 mpg
926,V6,Twin-Turbo,4WD,automatic,380 hp @ 5000 rpm,470 ft-lbs. @ 2250 rpm,22 mpg
927,V6,Twin-Turbo,RWD,automatic,380 hp @ 5000 rpm,470 ft-lbs. @ 2250 rpm,23 mpg
928,V6,Twin-Turbo,4WD,automatic,380 hp @ 5000 rpm,470 ft-lbs. @ 2250 rpm,22 mpg
929,V6,Twin-Turbo,RWD,automatic,380 hp @ 5000 rpm,470 ft-lbs. @ 2250 rpm,23 mpg
930,I4,Turbocharged,RWD,automatic,300 hp @ 5500 rpm,310 ft-lbs. @ 3500 rpm,28 mpg
931,I4,Turbocharged,AWD,automatic,300 hp @ 5500 rpm,310 ft-lbs. @ 3500 rpm,27 mpg
